year,period,value
2024,M11,234
2024,M10,252
2024,M09,235
2024,M08,288
2024,M07,251
2024,M06,237
2024,M05,243
2024,M04,271
2024,M03,252
2024,M02,241
2024,M01,264
2023,M12,260
2023,M11,241
2023,M10,244
2023,M09,303
2023,M08,310
2023,M07,247
2023,M06,231
2023,M05,227
2023,M04,191
2023,M03,207
2023,M02,215
2023,M01,219
2022,M12,282
2022,M11,239
2022,M10,238
2022,M09,232
2022,M08,208
2022,M07,235
2022,M06,236
2022,M05,254
2022,M04,270
2022,M03,213
2022,M02,278
2022,M01,309
2021,M12,266
2021,M11,324
2021,M10,348
2021,M09,310
2021,M08,305
2021,M07,352
2021,M06,438
2021,M05,399
2021,M04,498
2021,M03,442
2021,M02,483
2021,M01,457
2020,M12,461
2020,M11,546
2020,M10,514
2020,M09,580
2020,M08,564
2020,M07,691
2020,M06,778
2020,M05,841
2020,M04,1087
2020,M03,359
2020,M02,320
2020,M01,291
2019,M12,263
2019,M11,304
2019,M10,293
2019,M09,289
2019,M08,325
2019,M07,313
2019,M06,300
2019,M05,266
2019,M04,224
2019,M03,262
2019,M02,249
2019,M01,314
2018,M12,298
2018,M11,290
2018,M10,287
2018,M09,334
2018,M08,367
2018,M07,281
2018,M06,317
2018,M05,338
2018,M04,357
2018,M03,375
2018,M02,323
2018,M01,344
2017,M12,369
2017,M11,385
2017,M10,298
2017,M09,321
2017,M08,378
2017,M07,351
2017,M06,378
2017,M05,357
2017,M04,389
2017,M03,383
2017,M02,397
2017,M01,424
2016,M12,429
2016,M11,503
2016,M10,494
2016,M09,484
2016,M08,468
2016,M07,497
2016,M06,455
2016,M05,382
2016,M04,426
2016,M03,434
2016,M02,405
2016,M01,451
2015,M12,512
2015,M11,391
2015,M10,452
2015,M09,486
2015,M08,450
2015,M07,496
2015,M06,470
2015,M05,565
2015,M04,524
2015,M03,505
2015,M02,559
2015,M01,521
2014,M12,502
2014,M11,498
2014,M10,514
2014,M09,535
2014,M08,611
2014,M07,641
2014,M06,598
2014,M05,556
2014,M04,616
2014,M03,608
2014,M02,653
2014,M01,544
